"1";"1";"1";"13";"2";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"2";"1";"1";"13";"3";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"3";"1";"1";"13";"4";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"4";"1";"1";"13";"5";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"5";"1";"1";"13";"6";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"6";"1";"1";"13";"7";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"7";"2";"1";"14";"21";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"8";"3";"2";"13";"18";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"9";"3";"2";"13";"19";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"10";"4";"2";"14";"22";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"11";"4";"2";"14";"23";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"12";"5";"3";"13";"2";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"13";"5";"3";"13";"3";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"14";"5";"3";"13";"4";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"15";"5";"3";"13";"5";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"16";"5";"3";"13";"6";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"17";"6";"3";"14";"24";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"18";"6";"3";"14";"25";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"19";"7";"4";"13";"3";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"20";"7";"4";"13";"4";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"21";"7";"4";"13";"5";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"22";"7";"4";"13";"6";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"23";"8";"4";"14";"26";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
"24";"8";"4";"14";"27";"1";"0";"0.0000";"+";"0";"+";"0.00000000";"+"
